year,x,y,z,count,lat,lon
1,0.3156634751823407,0.5458752113228286,0.530814415936764,43,40.090538906173066,59.960476172088235
1600,0.21943825286565463,0.5509137328545702,0.5514774578947593,48,42.921765594116735,68.2817717086682
1800,0.18523638874184004,0.4654359309938668,0.5985359715697615,48,50.072490175750524,68.29820017783845
1850,0.2513397403939517,0.3465689698836842,0.6022499017843509,93,54.592578913790604,54.04951927744224
1900,0.24189453739003172,0.1571338678273372,0.6278335524705647,94,65.32411603433869,33.00761612022333
1950,0.20936448703080202,-0.03656260307553382,0.5660581561776248,167,69.42077263577858,-9.90601536094581
1960,0.2224670613613627,-0.01475912291327302,0.5645466450369675,168,68.44947596026698,-3.7956093660787102
1980,0.21226660093013563,0.044095845144220505,0.5482056103704189,168,68.42273055565353,11.735595403168306
2000,0.14940661617689446,0.07009237964473623,0.5230133425645466,168,72.48747856967155,25.133076590950274
2010,0.13510996048829418,0.17029458194383776,0.5032907525193664,168,66.63945258609168,51.571879391832326
2018,0.1054495438613441,0.24251284605273113,0.49524468020694173,162,61.899034601876025,66.49961109643226
2025,0.0969340419780892,0.2947003915640557,0.48444000223054706,162,57.36469852606772,71.79272189537541
